drift_id	affected_requirements	classification	v1_observation	v2_decision	rationale	status	revision	verification
V2-DRIFT-001	V2-QLF-001;V2-QLF-011	environmental	The frozen V1 catalog contains 309 pre-existing specifications and the pre-V2 package surface.	During shadow implementation the worktree also contains ratified V2 analysis, repository, and specification-compiler modules; the V1 oracle projects them out while requiring every frozen entry and derived transport to remain byte-identical.	The additional inputs are independently specified and verified but are not V1 parity subjects or V2 authority before Gate 5; excluding only their named prefixes and exports preserves the frozen causal comparison without hiding changes to any pre-existing input.	superseded	-	scripts/capture-v1-baseline.ts;.history/v2/evidence/v1-oracle.json;.history/v2/evidence/g2-qualification.md
V2-DRIFT-002	V2-SPC-004;V2-SPC-005;V2-QLF-011	defect-correction	V1 includes architecture.md in the normative specRevision, so a rationale-only edit invalidates the specification as if behavior changed.	V2 keeps architecture and history in context or presentation revisions while SpecificationSnapshot identity includes only normative resources and static diagnostics.	Rationale must remain visible but cannot become behavioral authority; the full corpus retains every authored contract field and a focused regression proves rationale-only edits preserve normative identity.	accepted	.history/v2/revisions/V2-REV-001.md	__tests__/specification-snapshot.test.ts;.history/v2/evidence/specification-audit.json
V2-DRIFT-003	V2-ANA-004;V2-TS-004;V2-TS-014;V2-CON-001;V2-QLF-011	defect-correction	V1 deduplicates a logical dependency but retains only the first traversal occurrence, so the edge ID and diagnostic evidence can change when compiler or export traversal order changes.	V2 derives the logical edge ID from the relationship tuple and retains every contributing occurrence in a canonically ordered evidence collection.	Traversal order is not semantic authority; complete occurrence evidence gives stable graph identity without hiding the exact V1 representative during parity qualification.	accepted	.history/v2/revisions/V2-REV-002.md	qualification/v2/ttsc/qualify.ts;__tests__/conformance-v2.test.ts
V2-DRIFT-004	V2-ANA-004;V2-TS-015;V2-CON-001;V2-QLF-011	defect-correction	V1 standard-library declaration identities embed compiler-bundle file offsets, so the same Date symbol changes identity across TypeScript revisions.	V2 identifies a standard-library symbol by the TypeScript platform provider and qualified symbol path, independent of bundled file layout and byte positions.	Compiler packaging is not semantic identity; stable platform coordinates preserve the same logical target across qualified upgrades without leaking an absolute or revision-local location.	accepted	.history/v2/revisions/V2-REV-003.md	qualification/v2/ttsc/qualify.ts
V2-DRIFT-005	V2-TS-004;V2-TS-015;V2-CON-001;V2-QLF-011	representation-only	V1 exposes Node-checker reduction details such as boolean literal unions, distributed intersections, flattened authored aliases, and compiler-expanded non-exported closure declarations as the declaration wire shape.	V2 retains authored alias and algebraic provenance with checker-resolved targets and substitutions; checker-reduced views are separate derived capabilities, while non-exported issue-free closure additions or removals are enumerated rather than silently normalized.	The representations denote the same TypeScript contract, while the V2 base is attributable, stable across compiler reductions, and more useful to indexing and policy consumers. Exported coverage and shared identity/kind remain exact, fixture-proven equivalence classes are reported, and unknown differences still fail.	accepted	.history/v2/revisions/V2-REV-003.md	qualification/v2/ttsc/qualify.ts
V2-DRIFT-006	V2-TS-014;V2-TS-016;V2-CON-001;V2-QLF-011	defect-correction	V1 omits declarations that are checker-reachable from exported APIs and therefore omits their external API dependency relationships, including declarations whose detailed type representation is explicitly partial.	V2 walks the complete exported declaration closure and retains an API relationship for each reachable external owner; parity accepts an additional relationship only when the source module fact proves declaration existence and reachability from an export.	A representation issue describes completeness of normalized type shape, not uncertainty about a separately Checker-resolved symbol owner. The fail-closed reachability predicate still rejects implementation dependencies while reporting every corrected relationship explicitly.	accepted	.history/v2/revisions/V2-REV-005.md	qualification/v2/ttsc/qualify.ts;analysis/typescript/.spec/laws/semantics.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-007	V2-TS-001;V2-CON-001;V2-QLF-011	defect-correction	Node TypeScript reports exactly three TS7022 and TS7024 circular-inference diagnostics for the delayed Admin repository-factory closure, although the annotated public factory contract is sound and TypeScript-Go resolves the same project without diagnostics.	The qualified TypeScript-Go compiler is diagnostic authority in V2; parity records and accepts only the exact frozen module, codes, and locations instead of synthesizing obsolete Node compiler diagnostics.	Compiler-generation limitations are evidence, not product semantics. Any additional, moved, or changed diagnostic still fails, and the production-native cold and incremental fixture must remain diagnostic-free.	superseded	.history/v2/revisions/V2-REV-004.md	qualification/v2/ttsc/qualify.ts;qualification/v2/conformance/module-parity.ts
V2-DRIFT-008	V2-ANA-004;V2-TS-017;V2-CON-001;V2-QLF-011	defect-correction	V1 embeds declaration byte offsets in every public workspace and package symbol identity, so inserting unrelated text before a declaration renames it and every referencing graph fact.	V2 identifies public declarations by portable source coordinates and qualified authored symbol paths; source spans remain provenance and parity canonicalizes only the positional V1 form of the same symbol.	Byte offsets are locations, not semantic identity. Stable logical IDs are required for incremental materialization, while lexical qualification prevents same-spelled nested declarations from collapsing.	accepted	.history/v2/revisions/V2-REV-005.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-009	V2-TS-018;V2-CON-001;V2-QLF-011	defect-correction	V1 stops package ownership discovery at a valid nested package.json without a name, classifying files such as zod/v4/core and hono/dist/types as unowned pnpm-store paths.	V2 treats nameless nested manifests as module-format metadata and continues to the nearest named package owner; parity rewrites only an unowned physical target whose portable target file already proves that package.	Physical package-manager layout is not module ownership. The normalization is narrow, requires an existing package source coordinate, and leaves genuinely unowned sources failing.	accepted	.history/v2/revisions/V2-REV-005.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
V2-DRIFT-010	V2-TS-021;V2-CON-001;V2-QLF-011	defect-correction	V1 and TypeScript-Go can select different declaration entry files inside the same external package even when the resolved owner and import occurrence are identical.	V2 retains the exact TypeScript-Go provider file; parity accepts only a unique package-owned pair with exact source, owner, kind, specifier, flags, and location and enumerates both files.	The qualified compiler output is evidence and must not be rewritten to imitate another compiler generation; the pairing predicate rejects ambiguous or cross-package differences.	accepted	.history/v2/revisions/V2-REV-006.md	qualification/v2/ttsc/qualify.ts;__tests__/analysis-v2.test.ts;.history/v2/evidence/g4-module-parity.json
