requirement_id	area	decision	owner	gate	state	adr_section	specification	implementation	verification	revision
V2-GOV-001	governance	Every ratified V2 obligation has one stable traceability row with attributable contract, implementation, verification, and revision evidence.	TypeSpec governance	G0	qualified	Required review passes	.history/v2/GOVERNANCE.md	qualification/v2-governance.ts;scripts/check-v2-governance.ts	__tests__/v2-governance.test.ts	-
V2-GOV-002	governance	Material changes to authority, public semantics, trust, compatibility, cutover, deletion, or completion require a consensus-driven accepted revision.	TypeSpec governance	G0	qualified	Required review passes	.history/v2/GOVERNANCE.md;.history/v2/revisions/README.md	qualification/v2-governance.ts;scripts/check-v2-governance.ts	__tests__/v2-governance.test.ts	-
V2-ARC-001	architecture	Specification, analysis, qualification, and presentation remain independent authorities.	TypeSpec architecture	G2	qualified	Four independent authorities	.history/adr/typespec-v2.md;analysis/.spec/architecture.md	analysis/index.ts;repository/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-ARC-002	architecture	TypeSpec consumes a presentation-neutral headless semantic-analysis foundation rather than owning generic TypeScript indexing.	Analysis architecture	G2	qualified	Decision	analysis/.spec/api.d.ts;analysis/.spec/architecture.md	analysis/index.ts;repository/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-ARC-003	architecture	One package exposes hard extraction-ready public subpath and internal import boundaries.	Package architecture	G2	qualified	Package and module boundaries	.history/adr/typespec-v2.md;analysis/.spec/api.d.ts	package.json;analysis/index.ts;analysis/typescript/index.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-ARC-004	architecture	Production imports obey the ratified acyclic dependency laws with no reverse authority edge.	Package architecture	G2	qualified	Package and module boundaries	analysis/.spec/architecture.md	analysis/index.ts;analysis/typescript/index.ts;repository/index.ts	__tests__/analysis-v2.test.ts;__tests__/architecture.test.ts;.history/v2/evidence/g2-reviews.md	-
V2-ARC-005	architecture	Headless APIs use explicit roots, services, passes, stores, cancellation, disposal, configuration, and immutable results without process or UI side effects.	Analysis API	G2	qualified	Headless API and DX	analysis/.spec/api.d.ts;analysis/protocol/.spec/api.d.ts	analysis/protocol/process-session.ts;analysis/typescript/pipeline.ts;analysis/policy/run.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-reviews.md	.history/v2/revisions/V2-REV-017.md;.history/v2/revisions/V2-REV-018.md
V2-ANA-001	analysis	An analysis generation is an immutable digest of one exact project universe, source manifest, producer, and capability set.	Analysis core	G2	qualified	Generations and transactions	analysis/generation/.spec/api.d.ts	analysis/generation/model.ts;analysis/typescript/universe-transaction.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md;.history/v2/evidence/ttsc-qualification.json	.history/v2/revisions/V2-REV-010.md;.history/v2/revisions/V2-REV-016.md
V2-ANA-002	analysis	Every fact is namespaced, versioned, generation-pinned, evidence-backed, attributable to its producer, and structurally validated.	Analysis core	G2	qualified	Fact envelope	analysis/facts/.spec/api.d.ts	analysis/facts/model.ts;analysis/internal/state.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	-
V2-ANA-003	analysis	Completeness distinguishes complete, partial, and unavailable; missing evidence never becomes a negative fact.	Analysis core	G2	qualified	Completeness	analysis/facts/.spec/api.d.ts;analysis/policy/.spec/api.d.ts	analysis/facts/model.ts;analysis/policy/run.ts	__tests__/analysis-v2.test.ts;.history/v2/evidence/g2-qualification.md	-
